Date,Value,avg,USDbalance,BTCbalance,Portfolio,Multiplier
29/3/20,6455.074286,0.226446967,9.725872675,20.35249125,131386.5688,0.41898541
5/4/20,6542.045714,0.227000726,5.666009851,20.35311183,133156.654,0.417429156
12/4/20,7107.107143,0.251008226,3.65638481,20.35339459,144657.4125,0.354680824
19/4/20,6953.614286,0.24328097,2.289190525,20.35359121,141533.3118,0.373919693
26/4/20,7212.57,0.25484764,1.498427962,20.35370084,146803.9905,0.345433267
3/5/20,8351.448571,0.308211962,1.146428773,20.35374299,169984.3843,0.23491232
10/5/20,9334.757143,0.34839389,0.952619703,20.35376375,189998.3942,0.169054611
17/5/20,9138.824286,0.328242685,0.761583863,20.35378466,186010.4231,0.200537359
24/5/20,9441.19,0.337517363,0.620167584,20.35379964,192164.7098,0.185687073
31/5/20,9194.867143,0.321906624,0.489276373,20.35381387,187151.1037,0.211057809
7/6/20,9703.917143,0.34411101,0.40340505,20.35382272,197512.2126,0.175506784
14/6/20,9631.944286,0.338053489,0.328836485,20.35383046,196047.2899,0.184847872
21/6/20,9396.455714,0.320804749,0.258820716,20.35383791,191254.1954,0.212919711
28/6/20,9324.897143,0.307711591,0.197787102,20.35384446,189797.7038,0.235814253
5/7/20,9139.268571,0.294807765,0.146389459,20.35385008,186019.4488,0.259863473
12/7/20,9270.814286,0.295637804,0.108581556,20.35385416,188696.9105,0.258269298
19/7/20,9205.994286,0.292081384,0.079791453,20.35385729,187377.5737,0.265147268
26/7/20,9454.354286,0.30000139,0.059843798,20.3538594,192432.6577,0.249997394
2/8/20,11043.04857,0.367265122,0.051343956,20.35386017,224768.7178,0.142033796
9/8/20,11487.28714,0.377704217,0.044771741,20.35386074,233810.6876,0.128003666
16/8/20,11709.77429,0.385169596,0.039473432,20.35386119,238339.1599,0.118340478
23/8/20,11854.76,0.388259992,0.034956615,20.35386157,241290.179,0.11442675
30/8/20,11505.73143,0.372321758,0.030231871,20.35386199,234186.0998,0.135160238
6/9/20,11071.86571,0.351132173,0.025243806,20.35386244,225355.2569,0.164993582
13/9/20,10309.50857,0.319238723,0.019801677,20.35386296,209838.3445,0.215582754
20/9/20,10813.79571,0.338797612,0.016164376,20.3538633,220102.5359,0.183686492
27/9/20,10610.64,0.332337643,0.01303007,20.3538636,215967.5323,0.193902103
4/10/20,10690.19429,0.334825587,0.010555245,20.35386383,217586.7693,0.189931801
11/10/20,10860.81714,0.337985743,0.008603012,20.35386401,221059.6037,0.184953803
18/10/20,11424.86,0.357175009,0.007259189,20.35386412,232540.0553,0.156203848
25/10/20,12440.94429,0.392626401,0.006468077,20.35386419,253221.2968,0.10898076
1/11/20,13412.47286,0.415714042,0.006468077,20.35386419,272995.6574,0
8/11/20,14505.70714,0.449911217,0.006468077,20.35386419,295247.1996,0
15/11/20,15795.82714,0.490214975,0.006468077,20.35386419,321506.1269,0
22/11/20,17625.60714,0.545870748,0.006468077,20.35386419,358749.2205,0
29/11/20,18108.03429,0.552753501,0.006468077,20.35386419,368568.477,0
6/12/20,19028.70143,0.570694148,0.006468077,20.35386419,387307.611,0
13/12/20,18644.66429,0.546846324,0.006468077,20.35386419,379490.9712,0
20/12/20,21304.06714,0.616288864,54730.57637,17.78484441,433620.0957,0.126217791
27/12/20,24023.82,0.621505801,109772.988,15.49368457,481990.4771,0.128826533
3/1/21,28584,0.671768975,185737.2903,12.83610332,552644.4676,0.171526743
10/1/21,36619.98571,0.819879841,471773.8392,5.025162292,655795.2105,0.608513412
17/1/21,36748.88143,0.786785476,559799.8914,2.629822658,656442.9324,0.476669109
24/1/21,34269.21,0.708995529,580863.8408,2.015161583,649921.8363,0.233727195
31/1/21,32788.08571,0.658025272,591172.7657,1.700750886,646937.1315,0.156022574
7/2/21,36352.74714,0.703759759,604956.9483,1.321572319,652999.7326,0.222947741
14/2/21,45632.87429,0.840457066,646428.3817,0.412766242,665264.0918,0.687670333
21/2/21,51639.48571,0.904825885,665232.1916,0.04862997,667743.4182,0.882185207
28/2/21,50059.01857,0.844855798,666945.5112,0.014403975,667666.5601,0.703804559
7/3/21,48536.85286,0.793709386,667297.8462,0.007144852,667644.6349,0.503966639
14/3/21,55803.39857,0.87259844,667615.4749,0.00145293,667696.5533,0.79664663
21/3/21,57785.76714,0.866030923,667680.6428,0.000325179,667699.4335,0.776190633
28/3/21,54422.30571,0.783439669,667688.8479,0.000174411,667698.3398,0.463646277
4/4/21,57960.21286,0.800669874,667694.2232,8.17E-05,667698.9568,0.531731568
11/4/21,58164.79286,0.772141056,667696.222,4.73E-05,667698.9735,0.420780409
18/4/21,61588.41,0.787366336,667697.6174,2.46E-05,667699.1355,0.478942408
25/4/21,53609.52857,0.671182917,667697.8431,2.04E-05,667698.9388,0.170793567
2/5/21,54618.00714,0.660614313,667698.0203,1.72E-05,667698.9594,0.158684343
9/5/21,56753.71143,0.662197793,667698.1768,1.44E-05,667698.9962,0.16036928
16/5/21,52326.09857,0.599506224,667698.1768,1.44E-05,667698.9322,0
23/5/21,40786.75857,0.464742471,667698.1768,1.44E-05,667698.7656,0
30/5/21,37134.60714,0.422523191,667698.1768,1.44E-05,667698.7129,0
6/6/21,36978.21286,0.413973215,667698.1768,1.44E-05,667698.7107,0
13/6/21,35661.74857,0.396097809,597777.183,1.96068649,667698.6916,0.104719462
20/6/21,38204.01143,0.422216439,597777.183,1.96068649,672683.2721,0
27/6/21,33120.28857,0.36363734,509869.5883,4.61487818,662715.6854,0.147057461
4/7/21,34582.7,0.378920814,445417.8118,6.478578139,669464.5359,0.126408356
11/7/21,33902.68857,0.368102794,382665.1799,8.329541426,665059.0288,0.140884873
18/7/21,32509.65143,0.350329034,319074.0468,10.28561079,653455.6682,0.166179565
25/7/21,32095.22714,0.3434288,262742.7864,12.04073968,649193.0613,0.176546043
1/8/21,39424.42286,0.415213515,262742.7864,12.04073968,737441.9989,0
8/8/21,40774.94571,0.423124266,262742.7864,12.04073968,753703.2931,0
15/8/21,45819.05429,0.469050847,262742.7864,12.04073968,814438.0913,0
22/8/21,46779.97286,0.472678502,262742.7864,12.04073968,826008.2616,0
29/8/21,48641.88,0.486070917,262742.7864,12.04073968,848427.0008,0
5/9/21,48744.55714,0.482497998,262742.7864,12.04073968,849663.3096,0
12/9/21,47670.71,0.470351226,262742.7864,12.04073968,836733.3957,0
19/9/21,47082.30857,0.459842223,262742.7864,12.04073968,829648.6073,0
26/9/21,43545.92857,0.423799235,262742.7864,12.04073968,787067.9763,0
3/10/21,43939.91286,0.425158498,262742.7864,12.04073968,791811.8385,0
10/10/21,52427.17857,0.499826429,262742.7864,12.04073968,894004.7955,0
17/10/21,57959.29571,0.540881072,262742.7864,12.04073968,960615.5779,0
24/10/21,62599.74286,0.571149653,262742.7864,12.04073968,1016489.994,0
31/10/21,60692.01645,0.546863724,262742.7864,12.04073968,993519.5568,0
