Date,Value,avg,USDbalance,BTCbalance,Portfolio
"Sunday, 21 July 2019",10295.95286,0.500917192,273.2378462,10.77547851,111217.0566
"Sunday, 28 July 2019",9960.758571,0.469546031,273.2378462,10.77547851,107605.1778
"Sunday, 4 August 2019",10065.20714,0.467784059,273.2378462,10.77547851,108730.6611
"Sunday, 11 August 2019",11618.56857,0.546052436,273.2378462,10.77547851,125468.8738
"Sunday, 18 August 2019",10672.04429,0.488039701,273.2378462,10.77547851,115269.6217
"Sunday, 25 August 2019",10398.05857,0.465104235,273.2378462,10.77547851,112317.2945
"Sunday, 1 September 2019",9864.078571,0.428081755,273.2378462,10.77547851,106563.4045
"Sunday, 8 September 2019",10392.05143,0.448588832,273.2378462,10.77547851,112252.5647
"Sunday, 15 September 2019",10303.67286,0.439376381,273.2378462,10.77547851,111300.2433
"Sunday, 22 September 2019",10193.21286,0.426098393,273.2378462,10.77547851,110109.984
"Sunday, 29 September 2019",8739.544286,0.348560835,256.8435754,10.77735438,94446.0095
"Sunday, 6 October 2019",8229.824286,0.320813895,236.2960894,10.77985109,88952.57642
"Sunday, 13 October 2019",8289.188571,0.322014671,217.3924022,10.78213162,89592.51458
"Sunday, 20 October 2019",8113.277143,0.309967874,197.827086,10.78454314,87695.81441
"Sunday, 27 October 2019",8186.91,0.312739679,180.0226483,10.78671788,88489.91113
"Sunday, 3 November 2019",9295.774286,0.369043859,169.2212894,10.78787984,100450.9173
"Sunday, 10 November 2019",9151.061429,0.357989822,159.068012,10.78898936,98889.77243
"Sunday, 17 November 2019",8698.797143,0.335283221,147.9332512,10.7902694,94010.29786
"Sunday, 24 November 2019",7872.854286,0.298630153,133.1399261,10.79214843,85098.15193
"Sunday, 1 December 2019",7353.042857,0.274221863,117.1631349,10.79432124,79488.26984
"Sunday, 8 December 2019",7378.555714,0.275683137,103.1035588,10.79622671,79763.66381
"Sunday, 15 December 2019",7255.95,0.271410311,90.7311317,10.79793185,78439.98472
"Sunday, 22 December 2019",7053.045714,0.256633258,78.02877326,10.79973282,76249.03808
"Sunday, 29 December 2019",7288.471429,0.265607595,67.88503274,10.80112457,78791.57289
"Sunday, 5 January 2020",7223.931429,0.261235474,58.38112816,10.80244019,78094.46831
"Sunday, 12 January 2020",7906.142857,0.294151316,52.54301534,10.80317862,85464.01646
"Sunday, 19 January 2020",8638.391429,0.331067163,48.86500427,10.80360439,93374.62857
"Sunday, 26 January 2020",8550.667143,0.325192633,44.95580393,10.80406157,92426.89009
"Sunday, 2 February 2020",9194.847143,0.354936685,42.25845569,10.80435493,99386.65048
"Sunday, 9 February 2020",9532.008571,0.367617494,39.72294835,10.80462093,103029.4622
"Sunday, 16 February 2020",10166.00143,0.390801524,37.73680093,10.8048163,109879.5147
"Sunday, 23 February 2020",9771.434286,0.367267622,35.47259288,10.80504801,105616.2892
"Sunday, 1 March 2020",9114.15,0.334095228,32.98951137,10.80532046,98514.30095
"Sunday, 8 March 2020",8922.97,0.323938401,30.35035046,10.80561623,96448.53978
"Sunday, 15 March 2020",6771.275714,0.225775775,24.58378388,10.80646785,73198.15709
"Sunday, 22 March 2020",5679.16,0.183862061,17.70032439,10.80767991,61396.24374
"Sunday, 29 March 2020",6455.074286,0.226446967,14.33726276,10.8082009,69782.07697
"Sunday, 5 April 2020",6542.045714,0.227000726,11.61318283,10.8086173,70722.08164
"Sunday, 12 April 2020",7107.107143,0.251008226,9.871205408,10.8088624,76829.61437
"Sunday, 19 April 2020",6953.614286,0.24328097,8.291812543,10.80908953,75170.5312
"Sunday, 26 April 2020",7212.57,0.25484764,7.130958787,10.80925048,77969.6067
"Sunday, 3 May 2020",8351.448571,0.308211962,6.489172496,10.80932733,90280.03045
"Sunday, 10 May 2020",9334.757143,0.34839389,6.099822146,10.80936904,100908.9347
"Sunday, 17 May 2020",9138.824286,0.328242685,5.672834596,10.80941576,98791.0241
"Sunday, 24 May 2020",9441.19,0.337517363,5.275736174,10.80945782,102059.4208
"Sunday, 31 May 2020",9194.867143,0.321906624,4.85367728,10.80950372,99396.80429
"Sunday, 7 June 2020",9703.917143,0.34411101,4.513919871,10.80953873,104899.3822
"Sunday, 14 June 2020",9631.944286,0.338053489,4.19794548,10.80957154,104121.3888
"Sunday, 21 June 2020",9396.455714,0.320804749,3.862109841,10.80960728,101575.8582
"Sunday, 28 June 2020",9324.897143,0.307711591,3.514519956,10.80964456,100802.3382
"Sunday, 5 July 2020",9139.268571,0.294807765,3.16306796,10.80968301,98795.75928
"Sunday, 12 July 2020",9270.814286,0.295637804,2.846761164,10.80971713,100217.7268
"Sunday, 19 July 2020",9205.994286,0.292081384,2.562085048,10.80974805,99517.04089
"Sunday, 26 July 2020",9454.354286,0.30000139,2.331497393,10.80977244,102201.7499
"Sunday, 2 August 2020",11043.04857,0.367265122,2.19160755,10.80978511,119375.1736
"Sunday, 9 August 2020",11487.28714,0.377704217,2.082027172,10.80979465,124177.2971
"Sunday, 16 August 2020",11709.77429,0.385169596,1.977925814,10.80980354,126582.3374
"Sunday, 23 August 2020",11854.76,0.388259992,1.879029523,10.80981188,128149.6045
"Sunday, 30 August 2020",11505.73143,0.372321758,1.785078047,10.80982005,124376.6713
"Sunday, 6 September 2020",11071.86571,0.351132173,1.677973364,10.80982972,119686.661
"Sunday, 13 September 2020",10309.50857,0.319238723,1.543735495,10.80984274,111445.7101
"Sunday, 20 September 2020",10813.79571,0.338797612,1.43567401,10.80985273,116896.9748
"Sunday, 27 September 2020",10610.64,0.332337643,1.33517683,10.80986221,114700.8915
"Sunday, 4 October 2020",10690.19429,0.334825587,1.241714451,10.80987095,115560.8624
"Sunday, 11 October 2020",10860.81714,0.337985743,1.15479444,10.80987895,117405.2734
"Sunday, 18 October 2020",11424.86,0.357175009,1.085506773,10.80988502,123502.5084
"Sunday, 25 October 2020",12440.94429,0.392626401,1.031231435,10.80988938,134486.2627
"Sunday, 1 November 2020",13412.47286,0.415714042,1.031231435,10.80988938,144988.3791
"Sunday, 8 November 2020",14505.70714,0.449911217,1.031231435,10.80988938,156806.1208
"Sunday, 15 November 2020",15795.82714,0.490214975,1.031231435,10.80988938,170752.1753
"Sunday, 22 November 2020",17625.60714,0.545870748,1.031231435,10.80988938,190531.8947
"Sunday, 29 November 2020",18108.03429,0.552753501,1.031231435,10.80988938,195746.8787
"Sunday, 6 December 2020",19028.70143,0.570694148,1.031231435,10.80988938,205699.1887
"Sunday, 13 December 2020",18644.66429,0.546846324,1.031231435,10.80988938,201547.7897
"Sunday, 20 December 2020",21304.06714,0.616288864,499.3558157,10.78649832,230295.6404
"Sunday, 27 December 2020",24023.82,0.621505801,1079.311154,10.76235748,259632.25
"Sunday, 3 January 2021",28584,0.671768975,2019.037593,10.72948152,308710.5373
"Sunday, 10 January 2021",36619.98571,0.819879841,4682.146934,10.65675868,394932.4975
"Sunday, 17 January 2021",36748.88143,0.786785476,6933.200617,10.59550365,396306.1081
"Sunday, 24 January 2021",34269.21,0.708995529,8309.430374,10.55534429,370032.7404
"Sunday, 31 January 2021",32788.08571,0.658025272,9282.737755,10.5256595,354398.9636
"Sunday, 7 February 2021",36352.74714,0.703759759,10690.64983,10.48693032,391919.376
"Sunday, 14 February 2021",45632.87429,0.840457066,14272.27057,10.40844259,489239.4227
"Sunday, 21 February 2021",51639.48571,0.904825885,19676.31592,10.30379311,551758.893
"Sunday, 28 February 2021",50059.01857,0.844855798,23618.17482,10.22504888,535474.0865
"Sunday, 7 March 2021",48536.85286,0.793709386,26572.60906,10.16417896,519909.8677
"Sunday, 14 March 2021",55803.39857,0.87259844,31505.27768,10.07578526,593768.3387
"Sunday, 21 March 2021",57785.76714,0.866030923,36418.02744,9.99076866,613742.2588
"Sunday, 28 March 2021",54422.30571,0.783439669,39490.50933,9.934312362,580138.6937
"Sunday, 4 April 2021",57960.21286,0.800669874,43040.05684,9.873071256,615285.3684
"Sunday, 11 April 2021",58164.79286,0.772141056,46101.95185,9.820429532,617305.2013
"Sunday, 18 April 2021",61588.41,0.787366336,49588.76043,9.763814844,650926.5922
"Sunday, 25 April 2021",53609.52857,0.671182917,51182.12942,9.734093095,573022.2713
"Sunday, 2 May 2021",54618.00714,0.660614313,52700.97815,9.706284524,582838.8956
"Sunday, 9 May 2021",56753.71143,0.662197793,54289.85216,9.678288575,603568.649
"Sunday, 16 May 2021",52326.09857,0.599506224,54289.85216,9.678288575,560716.9341
"Sunday, 23 May 2021",40786.75857,0.464742471,54289.85216,9.678288575,449035.8716
"Sunday, 30 May 2021",37134.60714,0.422523191,54289.85216,9.678288575,413689.2962
"Sunday, 6 June 2021",36978.21286,0.413973215,54289.85216,9.678288575,412175.6672
"Sunday, 13 June 2021",35661.74857,0.396097809,51575.35955,9.75440634,399434.5459
"Sunday, 20 June 2021",38204.01143,0.422216439,51575.35955,9.75440634,424232.8108
"Sunday, 27 June 2021",33120.28857,0.36363734,48480.83798,9.847839148,374644.1124
"Sunday, 4 July 2021",34582.7,0.378920814,46056.79608,9.91793321,389045.7049
"Sunday, 11 July 2021",33902.68857,0.368102794,43293.38831,9.999443198,382301.397
"Sunday, 18 July 2021",32509.65143,0.350329034,40695.78501,10.07934573,368371.8012
"Sunday, 25 July 2021",32095.22714,0.3434288,37847.08006,10.16810363,364194.6755
"Sunday, 1 August 2021",39424.42286,0.415213515,37847.08006,10.16810363,438718.697
"Sunday, 8 August 2021",40774.94571,0.423124266,37847.08006,10.16810363,452450.9534
"Sunday, 15 August 2021",45819.05429,0.469050847,37847.08006,10.16810363,503739.972
"Sunday, 22 August 2021",46779.97286,0.472678502,37847.08006,10.16810363,513510.6917
"Sunday, 29 August 2021",48641.88,0.486070917,37847.08006,10.16810363,532442.7564
"Sunday, 5 September 2021",48744.55714,0.482497998,37847.08006,10.16810363,533486.7882
"Sunday, 12 September 2021",47670.71,0.470351226,37847.08006,10.16810363,522567.7992
"Sunday, 19 September 2021",47082.30857,0.459842223,37847.08006,10.16810363,516584.8725
"Sunday, 26 September 2021",43545.92857,0.423799235,37847.08006,10.16810363,480626.5942
"Sunday, 3 October 2021",43939.91286,0.425158498,37847.08006,10.16810363,484632.6673
"Sunday, 10 October 2021",52427.17857,0.499826429,37847.08006,10.16810363,570932.0645
"Sunday, 17 October 2021",57959.29571,0.540881072,37847.08006,10.16810363,627183.2049
"Sunday, 24 October 2021",62599.74286,0.571149653,37847.08006,10.16810363,674367.7523
"Sunday, 31 October 2021",60692.01645,0.546863724,37847.08006,10.16810363,654969.7925
