,index,Date,Value,400MA,400MArisk,Mayer,btcIssuance,usdIssuance,MAusdIssuance,PuellMultiple,Price/52w,Return%,Sharpe,Sortino,ind,PowerLaw,avg
3700,4292,2020-10-03,10575.06,8965.225900000001,0.22508741682813174,0.2625453499133857,1800.0,19035108.0,16023930.460273972,0.4053395027671536,0.25484812333686124,-0.4160373058712308,0.5556908609813861,0.3705391585250491,4063,0.2714133923895798,0.3291541077027497
3701,4293,2020-10-04,10551.77,8967.952175,0.22424202869746926,0.2601295531937826,1800.0,18993186.0,16035747.780821918,0.4035295126459614,0.2535042303679593,-0.22023515705820174,0.5571930136949141,0.3728798508402716,4064,0.26981598327067646,0.32806905364512723
3702,4294,2020-10-05,10673.46,8970.386625000001,0.2280308761056395,0.26436218514434506,1800.0,19212228.0,16048203.632876713,0.41013197799592743,0.25834040496351535,1.1532662292676799,0.5598185710475934,,4065,0.27484554575420234,0.3325882601685372
3703,4295,2020-10-06,10788.56,8973.068025,0.2315981324983601,0.26844422321509465,1800.0,19419408.0,16062597.81369863,0.4162654502340207,0.2628574079787725,1.0783757094700253,0.568423837293714,,4066,0.2795128174093438,0.33785031143821764
3704,4296,2020-10-07,10603.74,8975.61495,0.22561085001206646,0.25886548011860183,1800.0,19086732.0,16074392.597260274,0.4050710170365451,0.2545972666672325,-1.7131109249056364,0.5551346580918132,0.3718595297043735,4067,0.2706043755341984,0.32831394124340957
3705,4297,2020-10-08,10670.8,8976.1577,0.22772730375716688,0.26078149775617737,1800.0,19207440.0,16086626.679452054,0.4084945188064498,0.25709381630106204,0.6324183731400312,0.5569979015245323,,4068,0.2731318995442598,0.33070448961494137
3706,4298,2020-10-09,10923.3,8976.281475,0.23576848785996413,0.2709568541904712,1800.0,19661940.0,16098143.621917808,0.4226949981376096,0.2674342362204281,2.366270570154061,0.5508806217981822,,4069,0.28393682884884336,0.3386120045092498
3707,4299,2020-10-10,11063.19,8977.129325,0.24019276611791152,0.2761157750773281,1800.0,19913742.0,16110355.4630137,0.43032146293908496,0.2729175161287111,1.2806569443300164,0.5536249595963636,,4070,0.28956727049749054,0.343789958392815
3708,4300,2020-10-11,11302.67,8978.3428,0.24777436512743908,0.28576136511138184,1800.0,20344806.0,16125312.42739726,0.4435918461222545,0.2825660227911658,2.1646559446235614,0.5651481559234511,,4071,0.2994056457344592,0.35404123346835864
3709,4301,2020-10-12,11376.61,8980.8058,0.25003051349470534,0.2878539066013812,1800.0,20477898.0,16140445.249315068,0.4472551648668086,0.28513333176203154,0.6541817110470305,0.5655524838889561,,4072,0.30201859451239843,0.35630733252104685
3710,4302,2020-10-13,11540.04,8983.0293,0.25514458780652194,0.29393753382551147,1800.0,20772072.0,16156503.616438355,0.4560448665434489,0.2914524384945642,1.436543926529965,0.5692075062736108,,4073,0.30838231295593965,0.3623615409832662
3711,4303,2020-10-14,11428.24,8985.863625,0.2514699975119133,0.28755998299157676,1800.0,20570832.0,16171666.520547945,0.4489653536305947,0.2861145476840943,-0.9688008013837179,0.5655042649996548,0.3883409020039489,4074,0.30311113548494806,0.357120880383797
3712,4304,2020-10-15,11431.32,8988.650075000001,0.25145523852380425,0.28632951191369804,1800.0,20576376.0,16187788.405479452,0.4484859143540919,0.28565981349257813,0.026950781572665505,0.5699726501089835,,4075,0.3026924306949567,0.35743259318135207
3713,4305,2020-10-16,11503.73,8991.9758,0.25362400775435817,0.28808268479488447,1800.0,20706714.0,16205054.695890412,0.4519551145093793,0.2881230888624657,0.6334351588442866,0.5751003198863816,,4076,0.30520376061608456,0.36034816273725895
3714,4306,2020-10-17,11327.57,8995.336825,0.24788586363944698,0.2789421766496625,1800.0,20389626.0,16221085.989041096,0.44116129712899,0.28012581544380327,-1.53132940359344,0.5701332388725161,0.39496465739691466,4077,0.2971744313383884,0.3525704705121346
3715,4307,2020-10-18,11366.51,8997.60535,0.24903292774136082,0.27939681907403086,1800.0,20459718.0,16237914.065753425,0.4427245026265087,0.2812214425729727,0.34376304891516885,0.5738359872812896,,4078,0.2982928039237531,0.3540840805366527
3716,4308,2020-10-19,11508.2,9000.111875,0.25343527154397055,0.28442263065892515,1800.0,20714760.0,16255411.84109589,0.45015873381491966,0.28661133744965434,1.2465567707238279,0.5763265773255518,,4079,0.30375136582556167,0.3591176527697639
3717,4309,2020-10-20,11758.16,9002.97905,0.26126011248832,0.2941835497708594,1800.0,21164688.0,16272805.758904109,0.46379287768775806,0.29648020212914655,2.172016475208971,0.5734221674985867,,4080,0.31361611494373887,0.36712583741973487
3718,4310,2020-10-21,11925.46,9006.598375,0.266423039758217,0.3001890863804945,1800.0,21465828.0,16291066.832876712,0.4726242447110952,0.3028008707205144,1.4228416691046908,0.5766662234691,,4081,0.31990748198780306,0.3731018245045374
3719,4311,2020-10-22,12831.56,9010.74795,0.29501092680025526,0.3384180792431056,1800.0,23096808.0,16314761.736986302,0.523482493470048,0.3398512731380153,7.5980297615354075,0.5998573109980162,,4082,0.35483890410440605,0.4085764979589744
3720,4312,2020-10-23,12990.25,9017.35095,0.29974627229473255,0.3436009195621739,1800.0,23382450.0,16341987.057534246,0.5313249843722608,0.3454031583392354,1.2367163462587705,0.6141947106595539,,4083,0.36021193038479105,0.4157469959354579
3721,4313,2020-10-24,12944.52,9024.4326,0.29797352660802284,0.3399990070003121,1800.0,23300136.0,16369172.679452054,0.5274843260651136,0.34240743276376817,-0.35203325571101507,0.6145004477122198,0.45795925293022743,4084,0.3579154036706873,0.41338002397002066
3722,4314,2020-10-25,13128.46,9031.1042,0.3034960813382078,0.3463288513751396,1800.0,23631228.0,16391175.43561644,0.5369700398514415,0.3489538369645823,1.4209874139790246,0.5680991041247477,,4085,0.36416793873397796,0.41133597539801614
3723,4315,2020-10-26,13036.77,9038.492575,0.30025461696624456,0.3407241550266132,1800.0,23466186.0,16409801.589041095,0.530904786536459,0.34403308480400885,-0.6984063629702053,0.5494864940850399,0.39260497530380895,4086,0.3601814370865944,0.4042640957508266
3724,4316,2020-10-27,13076.37,9046.135775,0.30115814724850964,0.34080518135365995,1800.0,23537466.0,16427184.312328767,0.5323705143696118,0.3445808169629974,0.30375622182488016,0.5428774945259822,,4087,0.3610643660306829,0.40380942008190734
3725,4317,2020-10-28,13651.47,9053.744075,0.3189793785195582,0.36371503212772094,1800.0,24572646.0,16449044.252054794,0.5640238466038845,0.36715147189532904,4.398009539344616,0.5599636594126618,,4088,0.38133612995356564,0.42586158641878663
3726,4318,2020-10-29,13289.0,9063.6643,0.3070686448371756,0.3462536429562446,1800.0,23920200.0,16468058.416438356,0.5425802753278369,0.35096375723505746,-2.655171933864997,0.5495370689450595,0.38610468072177007,4089,0.36769288352058055,0.4106827121369925
